Site,Partner Site Country,Primary Disease Area,Tissue of origin (free text),Disease/indication (free text),Type,Model Organism,Biological System,Co-culture?,Model and modification details (free text),Cell line name(s) (free text),Plate density,Assay Design (1),Assay Design (2),if 3D: assay type,Assay readout,Assay readout (2),Assay readout (3),Additional assay information (free text),Data Points,Screening Mode,Measurement Type,"Additional Details (timepoint, points DRC) 
(free text)",Publication Details (doi only),Available to the User,Comments regarding the availability
MEDINA,ES,Cancer,,,Primary screening,Human,,,Cas9 expressing cell lines,,,2D,,,,,,,,,,,,,
MEDINA,ES,Cancer,,,Primary screening,Human,,,Cas9 expressing cell lines,,,3D,,,,,,,,,,,,,
MEDINA,ES,Cancer,Breast/pancreas/lung/melanoma,Breast cancer/pancreas cancer/lung cancer/melanoma,Primary screening,Human,,,,,384-well,2D,,,Absorbance,,,Synergy studies,1-5k,Combination,End-point,Combination matrix of 15 point DRC per drug,,,
MEDINA,ES,Cancer,Breast/pancreas/lung/melanoma,Breast cancer/pancreas cancer/lung cancer/melanoma,Primary screening,Human,,,,,384-well,3D,,Spheroid/Scaffold-free,Microscopy,,,high-content imaging,1-5k,Single Point,End-point,10 point DRC,10.1016/j.biopha.2024.117018; 10.3390/molecules29020425,,
MEDINA,ES,Cancer,Breast,Triple negative breast cancer,Primary screening,Human,,,,,384-well,3D,,Spheroid/Scaffold-free,Microscopy,,,high-content imaging,1-5k,Dose Response,End-point,10 point DRC,,,
MEDINA,ES,Cancer, Bone,Osteosarcoma,Primary screening,Human,,,,U2-OS,,2D,,,Fluorescence,Microscopy,,high-content imaging,5-20k,Single Point,End-point,FOXO3A target-based assay (U2foxRELOC cell line),10.1371/journal.pone.0167491; 10.1007/978-1-4939-8900-3_12; 10.3390/molecules27175414,,
MEDINA,ES,Neurological,,,Primary screening,Human,Stem cells/iPSC,,iPS differentiated into neuron precursors ,,,2D,,,Fluorescence,Microscopy,,high-content imaging,,,,"Drug discovery, disease modeling (neurite growth)",,,
MEDINA,ES,Neurological,,,Primary screening,Human,,,SH-SY5Y cell line differentiated into neurons,SH-SY5Y,384-well,2D,,,,,,high-content imaging,,,,"Drug discovery, disease modeling (neurite growth)",,,
MEDINA,ES,Neurological,,,Hit follow-up,Human,Stem cells/iPSC,,"dopaminergic neurons, CRISPR-edited LRRK2-ki",,,2D,,,,,,,,,,"Drug discovery, disease modeling (neurite growth)",,,
USC,ES,Neurological,Neuroblastoma rabbit cells x Rat DRG neurons,Peripheral neuronal models,Primary screening,Human,Immortalized cell lines,No,"dorsal, root ganglia neuron, immortalized F11 cell line differentiated to dorsal root ganglia (DRG) neuron-like phenotype",F11,384-well,2D,,,Fluorescence,Microscopy,other,Other: Multi-Electrode Array,1-5k,Combination,End-point,ATP and KCl response,10.1177/2472555218810323,,
USC,ES,Neurological,Human neuroblastoma cells,Alzheimer disease,Primary screening,Human,Immortalized cell lines,No,"glutamatergic/dopaminergic neurons, SH-SY5Y cell line differentiated to neurons",SH-SY5Y,384-well,3D,,Spheroid/Scaffold-free,Fluorescence,Microscopy,other,Other: Multi-Electrode Array,1-5k,Combination,End-point,ATP and KCl response,,,
USC,ES,Neurological,Human neuroblastoma cells,Alzheimer disease,Primary screening,Human,Immortalized cell lines,No,"double mutant glutamatergic/dopaminergic neurons, SH-SY5Y cell line differentiated to neurons",SH-SY5Y,384-well,2D,,,Fluorescence,Microscopy,other,Other: Multi-Electrode Array,1-5k,Combination,End-point,ATP and KCl response,,,
USC,ES,Neurological,Human neuroblastoma cells,Alzheimer disease,Primary screening,Human,Immortalized cell lines,No,"neurospheres, SH-SY5Y in collagen matrix",SH-SY5Y,96-well,3D,,Spheroid/Scaffold-free,Microscopy,,,,1-5k,Combination,End-point,,,,
USC,ES,Renal,Kidney,Kidneycysts,Primary screening,Human,Immortalized cell lines,No,MDCK (Madin-Darby Canine Kidney) cyst/spheroids in collagen gel matrix induced by forskolin,MDCK,384-well,3D,,Spheroid/Scaffold-free,Microscopy,,,,1-5k,Combination,End-point,"Multiparametric 3D analysis, phenotypic response",,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Lymphoblastic Leukemia (biobanked),Primary screening,Human,Primary cells,,,,,Suspension,,,Flow cytometry,Luminescence,Fluorescence,"Cell Titer Glo, CellTox Green, Flow Cytometry",,Dose Response,,,10.1182/blood.2021015106,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia (fresh BM/PB),Primary screening,Human,Primary cells,,,,,Suspension,,,Flow cytometry,Luminescence,Fluorescence,"Cell Titer Glo, CellTox Green, Flow Cytometry",,Dose Response,,,10.1158/2159-8290.CD-21-0410; 10.3324/haematol.2022.281692,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,,Mouse,Primary cells,,primary AML in PDX mouse ,,,Suspension,,,Flow cytometry,,,Flow cytometry,,Dose Response,,,10.1182/blood.2021015106,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,Acute Myeloid Leukemia ,Primary screening,Human,,Yes,co-cultures of healthy donor PBMCs/CD3+ cells + AML primary cells. Biobanked/fresh,,,Suspension,,,Flow cytometry,Microscopy,,bispecific T-cell engagers,,Dose Response,,,,,
UH-FIMM,FI,Hematology,Blood/ Bone Marrow,"Acute Myeloid Leukemia, Myelodysplastic Syndromes, Multiple Myeloma (biobanked/fresh)",Primary screening,Human,Primary cells,,,,,Suspension,,,Flow cytometry,Luminescence,Fluorescence,"Cell Titer Glo, CellTox Green, Flow Cytometry",,Dose Response,,single drugs and combinations,10.1182/blood.2021011094; unpublished,,
UH-FIMM,FI,Hematology,Liver,Hepatoblastoma,Primary screening,Human,Primary cells,,,,,3D,,,Luminescence,Microscopy,,Cell Titer Glo & imaging,,Combination,,single drugs and combinations,10.1038/s41698-025-00915-8,,
UH-FIMM,FI,,,,Primary screening,Human,,,miniaturized immunofluorescence assay (mini-IFA) for measuring antibody response in patient blood samples using severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) as the model pathogen,,384-well,,,,Microscopy,,,"high-content microscopy -based mini-immunofluorescence assay (mini-IFA) for serological testing i.e., detection of antibodies",,,,,10.1016/j.crmeth.2023.100565,,
